[2026-04-13 09:40:22] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:23] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:24] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:25] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:26] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:27] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:28] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:28] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:29] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:30] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:31] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:32] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:33] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:33] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:34] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:35] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
